"id","name","chart_number","ssn","dob","photo_id","food_allergy","med_allergy","other_allergy","track_history"
"1","Doris D Dodd","11111","-1851","1960-02-15","NULL","NULL","NULL","NULL","true"
"2","Fred Johnson","6772232","-6173","1979-09-20","NULL","NULL","NULL","NULL","true"
"3","Bob Olson","57571","-549","1981-12-31","NULL","NULL","NULL","NULL","true"
"4","Elmer Duff","NULL","-2969","1921-01-15","NULL","NULL","NULL","NULL","true"
"5","Jane Smith","686868","-30","1992-11-21","NULL","NULL","NULL","NULL","true"
"6","Bob Olson","573722","","NULL","NULL","NULL","NULL","NULL","true"
"7","Bob Olson","6172121","","NULL","NULL","NULL","NULL","NULL","true"
"8","Bob Olson","6712712","","NULL","NULL","NULL","NULL","NULL","true"
"9","Bob Olson","515121","","NULL","NULL","NULL","NULL","NULL","true"
"10039","Katerine R Herbert","NULL","NULL","NULL","114","NULL","NULL","NULL","true"
"10040","Catherine Bergmann","NULL","NULL","NULL","30","NULL","NULL","NULL","true"
"10041","David Leonard","NULL","NULL","NULL","32","NULL","NULL","NULL","true"
"10042","Thomas Pierce","NULL","NULL","NULL","33","NULL","NULL","NULL","true"
"10043","Jennifer C Chartrand","NULL","NULL","NULL","68","NULL","NULL","NULL","true"
"10044","Bruce Watts","NULL","NULL","NULL","111","NULL","NULL","NULL","true"
"10045","Charles North","NULL","NULL","NULL","93","NULL","NULL","NULL","true"
"10046","Julia D Regal","NULL","NULL","NULL","65","NULL","NULL","NULL","true"
"10047","Brad Parkinson","NULL","NULL","NULL","64","NULL","NULL","NULL","true"
"10048","Ben R Armstrong","NULL","NULL","NULL","63","NULL","NULL","NULL","true"
"10049","Murugan Lelaki","NULL","NULL","NULL","62","NULL","NULL","NULL","true"
"10050","Jane T Jones","NULL","NULL","NULL","61","NULL","NULL","NULL","true"
"10051","Peter Bertrand","NULL","NULL","NULL","60","NULL","NULL","NULL","true"
"10052","Richard Goldwaite","NULL","NULL","NULL","59","NULL","NULL","NULL","true"
"10053","Pearl Zedong","NULL","NULL","NULL","58","NULL","NULL","NULL","true"
"10054","Kevin Lee","NULL","NULL","NULL","57","NULL","NULL","NULL","true"
"10055","Eva Grosky","NULL","NULL","NULL","56","NULL","NULL","NULL","true"
"10056","Olier Zelaya","NULL","NULL","NULL","55","NULL","NULL","NULL","true"
"10057","Dorris D Dodd","NULL","NULL","NULL","113","NULL","NULL","NULL","true"
"10058","Karen Carswell","NULL","NULL","NULL","53","NULL","NULL","NULL","true"
"10059","Robert Rogers","NULL","NULL","NULL","52","NULL","NULL","NULL","true"
"10061","Michelle Potter","NULL","NULL","NULL","50","NULL","NULL","NULL","true"
"10062","Nicole Krochuk","NULL","NULL","NULL","49","NULL","NULL","NULL","true"
"10063","Dennis Smith","NULL","NULL","NULL","48","NULL","NULL","NULL","true"
"10064","Ruth Holls","NULL","NULL","NULL","47","NULL","NULL","NULL","true"
"10065","Harrison Foote","NULL","NULL","NULL","46","NULL","NULL","NULL","true"
"10092","Bob Olson","NULL","NULL","NULL","NULL","NULL","NULL","NULL","true"
