"taggable_id","first_name","last_name","email_address","copy_email"
"30001","Site","Administrator","NULL","false"
"30002","Location","Adaptor","NULL","false"
"30003","Ray","Gruby","NULL","false"
"30004","Mark","Daily","","false"
"30005","Ellen","Rigors, RN","","false"
"30006","Rebecca","Nelson","NULL","false"
"30007","Tanya","Grady","","false"
"30008","Brian","Lauten","","false"
"30012","Sarah","Forrow","","false"
"30013","Becky","Wheelar","","false"
"30014","Lisa","Lukken","tgruby@intelligentinsites.com","true"
"30015","Preston","Noele","","false"
"30016","Chance","Schwortz","NULL","false"
"30017","Harry","Hauskept","","false"
"30018","Cory","Brinden","NULL","false"
"30024","Aimi","Yung","","false"
"30025","MidCentral","Administrator","","false"
"30026","Ryan","Masion","","false"
"30027","Robert","Recepten","","false"
"30028","Lucy ","Labintal","","false"
"30029","System","","NULL","false"
"30030","Data","Dee","","false"
