"id","username","password","enabled","system_user","staff_id"
"1","admin","456","true","false","30001"
"2","adaptor","456","true","false","30002"
"3","rsg","456","true","false","30003"
"4","md","456","true","false","30004"
"5","ca","456","true","false","30005"
"6","rn","456","true","false","30006"
"7","tg","456","true","false","30007"
"8","bl","456","true","false","30008"
"12","sf","456","true","false","30012"
"13","bw","456","true","false","30013"
"14","ll","456","true","false","30014"
"15","pn","456","true","false","30015"
"16","cs","456","true","false","30016"
"17","hh","456","true","false","30017"
"18","cb","456","true","false","30018"
"24","123","456","true","false","30024"
"25","midadmin","456","true","false","30025"
"26","westadmin","456","true","false","30026"
"27","rr","456","true","false","30027"
"28","lab","456","true","false","30028"
"29","system","456","true","false","30029"
"30","data","data","true","true","30030"
